pl_name,habitable
HAT-P-55 b,no (missing values)
HAT-P-56 b,no (missing values)
HAT-P-57 b,no (missing values)
HAT-P-58 b,no (not in CHZ)
HAT-P-59 b,no (not in CHZ)
HAT-P-6 b,no (not in CHZ)
HAT-P-60 b,no (not in CHZ)
HAT-P-61 b,no (not in CHZ)
HAT-P-62 b,no (not in CHZ)
HAT-P-63 b,no (not in CHZ)
HAT-P-64 b,no (not in CHZ)
HAT-P-65 b,no (not in CHZ)
HAT-P-66 b,no (not in CHZ)
HAT-P-67 b,no (not in CHZ)
HAT-P-68 b,no (not in CHZ)
HAT-P-69 b,no (not in CHZ)
HAT-P-7 b,no (not in CHZ)
HAT-P-70 b,no (not in CHZ)
HAT-P-8 b,no (not in CHZ)
HAT-P-9 b,no (not in CHZ)
HATS-1 b,no (not in CHZ)
HATS-10 b,no (not in CHZ)
HATS-11 b,no (not in CHZ)
HATS-12 b,no (not in CHZ)
HATS-13 b,no (missing values)
HATS-14 b,no (missing values)
HATS-15 b,no (not in CHZ)
HATS-16 b,no (not in CHZ)
HATS-17 b,no (not in CHZ)
HATS-18 b,no (not in CHZ)
HATS-2 b,no (not in CHZ)
HATS-22 b,no (not in CHZ)
HATS-23 b,no (not in CHZ)
HATS-24 b,no (not in CHZ)
HATS-25 b,no (not in CHZ)
HATS-26 b,no (not in CHZ)
HATS-27 b,no (not in CHZ)
HATS-28 b,no (not in CHZ)
HATS-29 b,no (not in CHZ)
HATS-3 b,no (not in CHZ)
HATS-30 b,no (not in CHZ)
HATS-31 b,no (not in CHZ)
HATS-32 b,no (not in CHZ)
HATS-33 b,no (not in CHZ)
HATS-34 b,no (not in CHZ)
HATS-35 b,no (not in CHZ)
HATS-36 b,no (not in CHZ)
HATS-37 A b,no (not in CHZ)
HATS-38 b,no (not in CHZ)
HATS-39 b,no (not in CHZ)
HATS-4 b,no (not in CHZ)
HATS-40 b,no (not in CHZ)
HATS-41 b,no (not in CHZ)
HATS-42 b,no (not in CHZ)
HATS-43 b,no (not in CHZ)
HATS-44 b,no (not in CHZ)
HATS-45 b,no (not in CHZ)
HATS-46 b,no (not in CHZ)
HATS-47 b,no (not in CHZ)
HATS-48 A b,no (not in CHZ)
HATS-49 b,no (not in CHZ)
HATS-5 b,no (not in CHZ)
HATS-50 b,no (not in CHZ)
HATS-51 b,no (not in CHZ)
HATS-52 b,no (not in CHZ)
HATS-53 b,no (not in CHZ)
HATS-54 b,no (not in CHZ)
HATS-55 b,no (not in CHZ)
HATS-56 b,no (not in CHZ)
HATS-57 b,no (not in CHZ)
HATS-58 A b,no (not in CHZ)
HATS-59 b,no (not in CHZ)
HATS-59 c,no (missing values)
HATS-6 b,no (missing values)
HATS-60 b,no (not in CHZ)
HATS-61 b,no (not in CHZ)
HATS-62 b,no (not in CHZ)
HATS-63 b,no (not in CHZ)
HATS-64 b,no (not in CHZ)
HATS-65 b,no (not in CHZ)
HATS-66 b,no (not in CHZ)
HATS-67 b,no (not in CHZ)
HATS-68 b,no (not in CHZ)
HATS-69 b,no (not in CHZ)
HATS-7 b,no (not in CHZ)
HATS-70 b,no (not in CHZ)
HATS-71 b,no (not in CHZ)
HATS-72 b,no (not in CHZ)
HATS-74 A b,no (not in CHZ)
HATS-75 b,no (not in CHZ)
HATS-76 b,no (not in CHZ)
HATS-77 b,no (not in CHZ)
HATS-8 b,no (missing values)
HATS-9 b,no (not in CHZ)
HD 100546 b,no (missing values)
HD 100655 b,no (missing values)
HD 100777 b,no (missing values)
HD 10180 c,no (missing values)
HD 10180 d,no (missing values)
HD 10180 e,no (missing values)
HD 10180 f,no (missing values)
HD 10180 g,no (missing values)
HD 10180 h,no (missing values)
HD 101930 b,no (missing values)
HD 102117 b,no (missing values)
HD 102195 b,no (missing values)
HD 102272 b,no (missing values)
HD 102329 b,no (missing values)
HD 102329 c,no (missing values)
HD 102365 b,no (missing values)
HD 102843 b,no (missing values)
HD 102956 b,no (missing values)
HD 103197 b,no (missing values)
HD 103720 b,no (missing values)
HD 103774 b,no (missing values)
HD 103891 b,no (missing values)
HD 103949 b,no (missing values)
HD 104067 b,no (missing values)
HD 10442 b,no (missing values)
HD 104985 b,no (missing values)
HD 105779 b,no (missing values)
HD 106252 b,no (missing values)
HD 106270 b,no (missing values)
HD 106315 b,no (not in CHZ)
HD 106315 c,no (not in CHZ)
HD 10647 b,no (missing values)
HD 106515 A b,no (missing values)
HD 106906 b,no (missing values)
HD 10697 b,no (missing values)
HD 107148 b,no (missing values)
HD 107148 c,no (missing values)
HD 108147 b,no (missing values)
HD 108236 b,no (missing values)
HD 108236 c,no (missing values)
HD 108236 d,no (missing values)
HD 108236 e,no (missing values)
HD 108236 f,no (missing values)
HD 108341 b,no (missing values)
HD 108863 b,no (missing values)
HD 108874 b,no (missing values)
HD 108874 c,no (missing values)
HD 109246 b,no (missing values)
HD 109271 b,no (missing values)
HD 109271 c,no (missing values)
HD 109286 b,no (missing values)
HD 109749 b,no (missing values)
HD 10975 b,no (missing values)
HD 110014 b,no (missing values)
HD 110082 b,no (missing values)
HD 110113 b,no (missing values)
HD 110113 c,no (missing values)
HD 111232 b,no (missing values)
HD 111591 b,no (missing values)
HD 111998 b,no (missing values)
HD 112640 b,no (missing values)
HD 113337 b,no (missing values)
HD 113538 b,no (missing values)
HD 113538 c,no (missing values)
HD 113996 b,no (missing values)
HD 114386 b,no (missing values)
HD 114613 b,no (missing values)
HD 114729 b,no (missing values)
HD 114762 b,no (missing values)
HD 114783 b,no (missing values)
HD 114783 c,no (missing values)
HD 11506 b,no (missing values)
HD 11506 c,no (missing values)
HD 115954 b,no (missing values)
HD 116029 b,no (missing values)
HD 116029 c,no (missing values)
HD 117207 b,no (missing values)
HD 11755 b,no (missing values)
HD 117618 b,no (missing values)
HD 118203 b,no (missing values)
HD 11964 b,no (missing values)
HD 11964 c,no (missing values)
HD 11977 b,no (missing values)
HD 120084 b,no (missing values)
HD 121504 b,no (missing values)
HD 124330 b,no (missing values)
HD 12484 b,no (missing values)
HD 125390 b,no (missing values)
HD 125595 b,no (missing values)
HD 125612 b,no (missing values)
HD 125612 c,no (missing values)
HD 125612 d,no (missing values)
HD 12648 b,no (missing values)
HD 126525 b,no (missing values)
HD 12661 b,no (missing values)
HD 12661 c,no (missing values)
HD 126614 b,no (missing values)
HD 128311 b,no (missing values)
HD 128311 c,no (missing values)
HD 128356 b,no (missing values)
HD 129445 b,no (missing values)
HD 130322 b,no (missing values)
HD 131496 b,no (missing values)
HD 131664 b,no (missing values)
HD 13167 b,no (missing values)
HD 13189 b,no (missing values)
HD 132406 b,no (missing values)
HD 132563 b,no (missing values)
HD 133131 A b,no (missing values)
HD 133131 A c,no (missing values)
HD 133131 B b,no (missing values)
HD 134060 b,no (missing values)
HD 134060 c,no (missing values)
HD 134987 b,no (missing values)
HD 134987 c,no (missing values)
HD 136352 b,no (not in CHZ)
HD 136352 c,no (failed Keplerian)
HD 136352 d,no (not in CHZ)
HD 136418 b,no (missing values)
HD 136925 b,no (missing values)
HD 137388 b,no (missing values)
HD 137496 b,no (missing values)
HD 137496 c,no (missing values)
HD 13808 b,no (missing values)
HD 13808 c,no (missing values)
HD 13908 b,no (missing values)
HD 13908 c,no (missing values)
HD 13931 b,no (missing values)
HD 139357 b,no (missing values)
HD 1397 b,no (not in CHZ)
HD 14067 b,no (missing values)
HD 141004 b,no (missing values)
HD 141399 b,no (missing values)
HD 141399 c,no (missing values)
HD 141399 d,no (missing values)
HD 141399 e,no (missing values)
HD 141937 b,no (missing values)
HD 142 b,no (missing values)
HD 142 c,no (missing values)
HD 142022 A b,no (missing values)
HD 142245 b,no (missing values)
HD 142415 b,no (missing values)
HD 143105 b,no (missing values)
HD 143361 b,no (missing values)
HD 145377 b,no (missing values)
HD 145457 b,no (missing values)
HD 145675 c,no (missing values)
HD 145934 b,no (missing values)
HD 1461 b,no (missing values)
HD 1461 c,no (missing values)
HD 147018 b,no (missing values)
HD 147018 c,no (missing values)
HD 147379 b,no (missing values)
HD 147513 b,no (missing values)
HD 14787 b,no (missing values)
HD 147873 b,no (missing values)
HD 147873 c,no (missing values)
HD 148156 b,no (missing values)
HD 148164 b,no (missing values)
HD 148164 c,no (missing values)
HD 148427 b,no (missing values)
HD 149026 b,no (not in CHZ)
HD 149143 b,no (missing values)
HD 1502 b,no (missing values)
HD 150706 b,no (missing values)
HD 152079 b,no (missing values)
HD 152581 b,no (missing values)
HD 152843 b,no (missing values)
HD 152843 c,no (missing values)
HD 15337 b,no (not in CHZ)
HD 15337 c,no (not in CHZ)
HD 153950 b,no (missing values)
HD 154088 b,no (missing values)
HD 154345 b,no (missing values)
HD 154672 b,no (missing values)
HD 154857 b,no (missing values)
HD 154857 c,no (missing values)
HD 155193 b,no (missing values)
HD 155233 b,no (missing values)
HD 155358 b,no (missing values)
HD 155358 c,no (missing values)
HD 156279 b,no (missing values)
HD 156279 c,no (missing values)
HD 156411 b,no (missing values)
HD 156668 b,no (missing values)
HD 156668 c,no (missing values)
HD 156846 b,no (missing values)
HD 158038 b,no (missing values)
HD 158259 b,no (missing values)
HD 158259 c,no (missing values)
HD 158259 d,no (missing values)
HD 158259 e,no (missing values)
HD 158259 f,no (missing values)
HD 158996 b,no (missing values)
HD 159243 b,no (missing values)
HD 159243 c,no (missing values)
HD 159868 b,no (missing values)
HD 159868 c,no (missing values)
HD 1605 b,no (missing values)
HD 1605 c,no (missing values)
HD 160691 b,no (missing values)
HD 160691 c,no (missing values)
HD 160691 d,no (missing values)
HD 160691 e,no (missing values)
HD 161178 b,no (missing values)
HD 16141 b,no (missing values)
HD 16175 b,no (missing values)
HD 162020 b,no (missing values)
HD 163607 b,no (missing values)
HD 163607 c,no (missing values)
HD 16417 b,no (missing values)
HD 164509 b,no (missing values)
HD 164595 b,no (missing values)
HD 164604 b,no (missing values)
HD 164922 b,no (missing values)
HD 164922 c,no (missing values)
HD 164922 d,no (missing values)
HD 164922 e,no (missing values)
HD 165155 b,no (missing values)
HD 1666 b,no (missing values)
HD 166724 b,no (missing values)
HD 167042 b,no (missing values)
HD 168009 b,no (missing values)
HD 168443 b,no (missing values)
HD 168443 c,no (missing values)
HD 168746 b,no (missing values)
HD 1690 b,no (missing values)
HD 169830 b,no (missing values)
HD 169830 c,no (missing values)
HD 170469 b,no (missing values)
HD 17092 b,no (missing values)
HD 171028 b,no (missing values)
HD 171238 b,no (missing values)
HD 17156 b,no (not in CHZ)
HD 173416 b,no (missing values)
HD 175167 b,no (missing values)
HD 175541 b,no (missing values)
HD 175607 b,no (missing values)
HD 17674 b,no (missing values)
HD 176986 b,no (missing values)
HD 176986 c,no (missing values)
HD 177565 b,no (missing values)
HD 177830 b,no (missing values)
HD 177830 c,no (missing values)
HD 178911 B b,no (missing values)
HD 179079 b,no (missing values)
HD 179949 b,no (missing values)
HD 180053 b,no (missing values)
HD 18015 b,no (missing values)
HD 180314 b,no (missing values)
HD 180617 b,no (missing values)
HD 180902 b,no (missing values)
HD 181234 b,no (missing values)
HD 181342 b,no (missing values)
HD 181433 b,no (missing values)
HD 181433 c,no (missing values)
HD 181433 d,no (missing values)
HD 181720 b,no (missing values)
HD 183263 b,no (missing values)
HD 183263 c,no (missing values)
HD 183579 b,no (failed Keplerian)
HD 185269 b,no (missing values)
HD 187085 b,no (missing values)
HD 187123 b,no (missing values)
HD 187123 c,no (missing values)
HD 18742 b,no (missing values)
HD 188015 b,no (missing values)
HD 189567 b,no (missing values)
HD 189567 c,no (missing values)
HD 189733 b,no (not in CHZ)
HD 190007 b,no (missing values)
HD 190360 b,no (missing values)
HD 190360 c,no (missing values)
HD 190647 b,no (missing values)
HD 190984 b,no (missing values)
HD 191806 b,no (missing values)
HD 191939 b,no (not in CHZ)
HD 191939 c,no (not in CHZ)
HD 191939 d,no (not in CHZ)
HD 191939 e,no (missing values)
HD 191939 f,no (missing values)
HD 192263 b,no (missing values)
HD 192310 b,no (missing values)
HD 192310 c,no (missing values)
HD 192699 b,no (missing values)
HD 195019 b,no (missing values)
HD 196050 b,no (missing values)
HD 196067 b,no (missing values)
HD 196885 A b,no (missing values)
HD 197037 b,no (missing values)
HD 19994 b,no (missing values)
HD 20003 b,no (missing values)
HD 20003 c,no (missing values)
HD 200964 b,no (missing values)
HD 200964 c,no (missing values)
HD 202206 c,no (missing values)
HD 202696 b,no (missing values)
HD 202696 c,no (missing values)
HD 202772 A b,no (not in CHZ)
HD 203030 b,no (missing values)
HD 203473 b,no (missing values)
HD 2039 b,no (missing values)
HD 204313 b,no (missing values)
HD 204313 c,no (missing values)
HD 204941 b,no (missing values)
HD 205739 b,no (missing values)
HD 206255 b,no (missing values)
HD 206610 b,no (missing values)
HD 20781 b,no (missing values)
HD 20781 c,no (missing values)
HD 20781 d,no (missing values)
HD 20781 e,no (missing values)
HD 20782 b,no (missing values)
HD 207832 b,no (missing values)
HD 207832 c,no (missing values)
HD 207897 b,no (not in CHZ)
HD 20794 b,no (missing values)
HD 20794 c,no (missing values)
HD 20794 d,no (missing values)
HD 20794 e,no (missing values)
HD 208487 b,no (missing values)
HD 208527 b,no (missing values)
HD 20868 b,no (missing values)
HD 208897 b,no (missing values)
HD 209458 b,no (not in CHZ)
HD 210193 b,no (missing values)
HD 210277 b,no (missing values)
HD 210702 b,no (missing values)
HD 211403 b,no (missing values)
HD 211810 b,no (missing values)
HD 211970 b,no (missing values)
HD 212301 b,no (missing values)
HD 212771 b,no (missing values)
HD 213240 b,no (missing values)
HD 213472 b,no (missing values)
HD 213885 b,no (not in CHZ)
HD 213885 c,no (missing values)
HD 21411 b,no (missing values)
HD 214823 b,no (missing values)
HD 215152 b,no (missing values)
HD 215152 c,no (missing values)
HD 215152 d,no (missing values)
HD 215152 e,no (missing values)
HD 215497 b,no (missing values)
HD 215497 c,no (missing values)
HD 216435 b,no (missing values)
HD 216437 b,no (missing values)
HD 216520 b,no (missing values)
HD 216520 c,no (missing values)
HD 216536 b,no (missing values)
HD 216770 b,no (missing values)
HD 21693 b,no (missing values)
HD 21693 c,no (missing values)
HD 217107 b,no (missing values)
HD 217107 c,no (missing values)
HD 21749 c,no (missing values)
HD 217786 b,no (missing values)
HD 217850 b,no (missing values)
HD 218566 b,no (missing values)
HD 219077 b,no (missing values)
HD 219134 b,no (not in CHZ)
HD 219134 c,no (not in CHZ)
HD 219134 d,no (missing values)
HD 219134 f,no (missing values)
HD 219134 g,no (missing values)
HD 219134 h,no (missing values)
HD 219139 b,no (missing values)
HD 219415 b,no (missing values)
HD 219666 b,no (missing values)
HD 219828 b,no (missing values)
HD 219828 c,no (missing values)
HD 220074 b,no (missing values)
HD 220197 b,no (missing values)
HD 220689 b,no (missing values)
HD 220773 b,no (missing values)
HD 220842 b,no (missing values)
HD 221287 b,no (missing values)
HD 221416 b,no (not in CHZ)
HD 221420 b,no (missing values)
HD 221585 b,no (missing values)
HD 222076 b,no (missing values)
HD 222155 b,no (missing values)
HD 222582 b,no (missing values)
HD 224538 b,no (missing values)
HD 224693 b,no (missing values)
HD 22496 b,no (missing values)
HD 22532 b,no (missing values)
HD 22781 b,no (missing values)
HD 23079 b,no (missing values)
HD 23127 b,no (missing values)
HD 231701 b,no (missing values)
HD 233604 b,no (missing values)
HD 233832 b,no (missing values)
HD 23472 b,no (missing values)
HD 23472 c,no (missing values)
HD 23596 b,no (missing values)
HD 238090 b,no (missing values)
HD 238914 b,no (missing values)
HD 240210 b,no (missing values)
HD 240237 b,no (missing values)
HD 24040 b,no (missing values)
HD 24040 c,no (missing values)
HD 24064 b,no (missing values)
HD 24085 b,no (missing values)
HD 25015 b,no (missing values)
HD 25171 b,no (missing values)
HD 25723 b,no (missing values)
HD 26161 b,no (missing values)
HD 2638 b,no (missing values)
HD 2685 b,no (missing values)
HD 26965 b,no (missing values)
HD 27442 b,no (missing values)
HD 27631 b,no (missing values)
HD 27894 b,no (missing values)
HD 27894 c,no (missing values)
HD 27894 d,no (missing values)
HD 27969 b,no (missing values)
HD 28185 b,no (missing values)
HD 28254 b,no (missing values)
HD 285507 b,no (missing values)
HD 285968 b,no (missing values)
HD 28678 b,no (missing values)
HD 29021 b,no (missing values)
HD 290327 b,no (missing values)
